PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,AC_MONTH,RANK_A,RANK_B,RANK_C,RANK_D,RANK_N,ALSO_FIT_YEAR_FROM,ALSO_FIT_YEAR_TO,ALSO_FIT_MAKE
5015,150001,A,201307,1,0,0,0,0,1989,1997,FORD
5015,150001,A,201307,1,0,0,0,0,1997,1997,MERCURY
5015,150002,B,201307,0,1,0,0,0,1990,1997,FORD
5015,150003,A,201307,1,0,0,0,0,1999,2004,CHEVROLET
5015,150003,A,201307,1,0,0,0,0,1999,2004,GMC
5015,150004,B,201308,0,1,0,0,0,1999,2003,CHEVROLET
5015,150004,B,201308,0,1,0,0,0,1999,2003,GMC
5015,150005,A,201308,1,0,0,0,0,2000,2005,CHEVROLET
5015,150005,A,201308,1,0,0,0,0,2000,2005,GMC
5015,150006,A,201312,1,0,0,0,0,2000,2004,OLDSMOBILE
5015,150006,A,201312,1,0,0,0,0,2000,2005,CHEVROLET
5015,150006,A,201312,1,0,0,0,0,2000,2005,PONTIAC
5015,150007,A,201307,1,0,0,0,0,2000,2003,CHEVROLET
5015,150007,A,201307,1,0,0,0,0,2000,2003,GMC
5015,150007,A,201307,1,0,0,0,0,2002,2003,CADILLAC
5015,150008,C,201312,0,0,1,0,0,1996,1996,CHEVROLET
5015,150008,C,201312,0,0,1,0,0,1996,1996,GMC
5015,150008,C,201312,0,0,1,0,0,1996,1996,OLDSMOBILE
5015,150009,B,201307,0,1,0,0,0,1997,1999,CHEVROLET
5015,150009,B,201307,0,1,0,0,0,1997,1999,GMC
5015,150010,A,201308,1,0,0,0,0,1997,2000,CHEVROLET
5015,150010,A,201308,1,0,0,0,0,1997,2000,GMC
5015,150010,A,201308,1,0,0,0,0,1997,2000,ISUZU
5015,150011,A,201307,1,0,0,0,0,1997,2000,CHEVROLET
5015,150011,A,201307,1,0,0,0,0,1997,2000,GMC
5015,150012,A,201307,1,0,0,0,0,1997,2000,ISUZU
5015,150012,A,201307,1,0,0,0,0,1997,2002,CHEVROLET
5015,150012,A,201307,1,0,0,0,0,1997,2002,GMC
5015,150013,B,201308,0,1,0,0,0,1997,1998,CHEVROLET
5015,150013,B,201308,0,1,0,0,0,1997,1998,GMC
5015,150013,B,201308,0,1,0,0,0,1997,1998,OLDSMOBILE
5015,150014,B,201308,0,1,0,0,0,1997,2002,CHEVROLET
5015,150014,B,201308,0,1,0,0,0,1997,2002,GMC
5015,150015,A,201307,1,0,0,0,0,1997,2002,CHEVROLET
5015,150015,A,201307,1,0,0,0,0,1997,2002,GMC
5015,150016,B,201308,0,1,0,0,0,1998,1999,CHEVROLET
5015,150016,B,201308,0,1,0,0,0,1998,1999,GMC
5015,150017,A,201312,1,0,0,0,0,1998,2002,CHEVROLET
5015,150017,A,201312,1,0,0,0,0,1998,2002,GMC
5015,150018,B,201307,0,1,0,0,0,1998,2000,CHEVROLET
5015,150018,B,201307,0,1,0,0,0,1998,2000,GMC
5015,150018,B,201307,0,1,0,0,0,1999,2000,CADILLAC
5015,150019,A,201307,1,0,0,0,0,1998,2001,OLDSMOBILE
5015,150019,A,201307,1,0,0,0,0,1998,2002,GMC
5015,150019,A,201307,1,0,0,0,0,1998,2005,CHEVROLET
5015,150020,D,201307,0,0,0,1,0,1991,1995,CHRYSLER
5015,150020,D,201307,0,0,0,1,0,1991,1995,DODGE
5015,150020,D,201307,0,0,0,1,0,1991,1995,PLYMOUTH
5015,150021,B,201312,0,1,0,0,0,1996,2000,DODGE
5015,150021,B,201312,0,1,0,0,0,1996,2000,PLYMOUTH
5015,150021,B,201312,0,1,0,0,0,2000,2000,CHRYSLER
5015,150022,C,201312,0,0,1,0,0,1998,2000,CHRYSLER
5015,150022,C,201312,0,0,1,0,0,1998,2000,DODGE
5015,150022,C,201312,0,0,1,0,0,1998,2000,PLYMOUTH
5015,150023,D,201308,0,0,0,1,0,1999,1999,FORD
5015,150023,D,201308,0,0,0,1,0,1999,1999,MERCURY
5015,150024,C,201308,0,0,1,0,0,2000,2000,FORD
5015,150024,C,201308,0,0,1,0,0,2000,2000,MERCURY
5015,150025,C,201407,0,0,1,0,0,2001,2001,FORD
5015,150025,C,201407,0,0,1,0,0,2001,2001,MERCURY
5015,150026,A,201308,1,0,0,0,0,2002,2003,FORD
5015,150026,A,201308,1,0,0,0,0,2002,2003,MERCURY
5015,150027,C,201308,0,0,1,0,0,2004,2005,MERCURY
5015,150027,C,201308,0,0,1,0,0,2004,2006,FORD
5015,150028,C,201308,0,0,1,0,0,1999,2004,FORD
5015,150029,C,201308,0,0,1,0,0,1999,2004,FORD
5015,150030,D,201308,0,0,0,1,0,1999,2004,FORD
5015,150031,D,201308,0,0,0,1,0,1999,2004,FORD
5015,150032,D,201308,0,0,0,1,0,1999,2004,FORD
5015,150033,D,201308,0,0,0,1,0,1999,2003,FORD
5015,150034,A,201308,1,0,0,0,0,2001,2004,FORD
5015,150035,C,201308,0,0,1,0,0,1999,2000,FORD
5015,150036,C,201308,0,0,1,0,0,2001,2003,FORD
5015,150037,A,201308,1,0,0,0,0,2001,2004,FORD
5015,150037,A,201308,1,0,0,0,0,2001,2004,MAZDA
5015,150038,C,201308,0,0,1,0,0,1999,2000,FORD
5015,150039,D,201312,0,0,0,1,0,1997,1998,FORD
5015,150040,D,201308,0,0,0,1,0,1990,1997,VOLKSWAGEN
5015,150041,C,201308,0,0,1,0,0,1998,2005,VOLKSWAGEN
5015,150041,C,201308,0,0,1,0,0,2000,2004,AUDI
5015,150042,B,201308,0,1,0,0,0,1998,2006,VOLKSWAGEN
5015,150043,C,201312,0,0,1,0,0,1996,1997,CHEVROLET
5015,150043,C,201312,0,0,1,0,0,1996,1997,GMC
5015,150044,C,201312,0,0,1,0,0,1998,2001,CHEVROLET
5015,150044,C,201312,0,0,1,0,0,1998,2001,OLDSMOBILE
5015,150044,C,201312,0,0,1,0,0,1998,2001,PONTIAC
5015,150045,B,201312,0,1,0,0,0,2000,2001,CHEVROLET
5015,150045,B,201312,0,1,0,0,0,2000,2001,GMC
5015,150046,A,201312,1,0,0,0,0,2000,2005,BUICK
5015,150046,A,201312,1,0,0,0,0,2000,2005,CHEVROLET
5015,150046,A,201312,1,0,0,0,0,2001,2003,PONTIAC
5015,150047,D,201407,0,0,0,1,0,1996,1998,BUICK
5015,150047,D,201407,0,0,0,1,0,1996,1998,CHEVROLET
5015,150047,D,201407,0,0,0,1,0,1996,1998,OLDSMOBILE
5015,150047,D,201407,0,0,0,1,0,1996,1998,PONTIAC
5015,150048,C,201407,0,0,1,0,0,1997,1999,CHEVROLET
5015,150049,C,201310,0,0,1,0,0,1998,1999,OLDSMOBILE
5015,150049,C,201310,0,0,1,0,0,1998,2000,CHEVROLET
5015,150049,C,201310,0,0,1,0,0,1999,2000,PONTIAC
5015,150050,C,201312,0,0,1,0,0,1998,2000,CHEVROLET
5015,150050,C,201312,0,0,1,0,0,1998,2000,GMC
5015,150051,C,201408,0,0,1,0,0,1999,2002,LINCOLN
5015,150052,D,201408,0,0,0,1,0,1998,1998,FORD
5015,150052,D,201408,0,0,0,1,0,1998,1998,MERCURY
5015,150053,B,201408,0,1,0,0,0,1992,1996,FORD
5015,150054,D,201408,0,0,0,1,0,2002,2002,FORD
5015,150055,D,201408,0,0,0,1,0,1999,1999,FORD
5015,150056,C,201408,0,0,1,0,0,2004,2005,FORD
5015,150056,C,201408,0,0,1,0,0,2004,2005,MERCURY
5015,150057,B,201408,0,1,0,0,0,2002,2003,CHEVROLET
5015,150057,B,201408,0,1,0,0,0,2002,2003,GMC
5015,150058,D,201408,0,0,0,1,0,1998,2000,CHEVROLET
5015,150058,D,201408,0,0,0,1,0,1998,2002,GMC
5015,150059,B,201403,0,1,0,0,0,2002,2004,CHEVROLET
5015,150059,B,201403,0,1,0,0,0,2002,2004,GMC
5015,150060,B,201403,0,1,0,0,0,2002,2004,CHEVROLET
5015,150060,B,201403,0,1,0,0,0,2002,2004,GMC
5015,150061,D,201408,0,0,0,1,0,2001,2002,CHEVROLET
5015,150061,D,201408,0,0,0,1,0,2001,2002,GMC
5015,150062,C,201403,0,0,1,0,0,1998,2002,CHEVROLET
5015,150062,C,201403,0,0,1,0,0,1998,2002,GMC
5015,150063,B,201408,0,1,0,0,0,2001,2004,PONTIAC
5015,150063,B,201408,0,1,0,0,0,2002,2004,BUICK
5015,150064,C,201506,0,0,1,0,0,2000,2002,CHEVROLET
5015,150064,C,201506,0,0,1,0,0,2000,2002,GMC
5015,150065,D,201508,0,0,0,1,0,1999,2001,CHEVROLET
5015,150066,C,201408,0,0,1,0,0,2001,2004,CHEVROLET
5015,150066,C,201408,0,0,1,0,0,2001,2004,PONTIAC
