ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
ITEM NUMBER,ITEM_ADDED_DATE,BR_ID,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05
ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
"11-0007-00",81,1,2,2,1,1,2,1,1,2,0,4,2,0
"11-0007-00-1",81,3,1,3,3,2,1,2,3,5,11,9,8,4
"11-0008-00",81,3,0,0,0,0,1,0,0,0,1,1,1,0
"11-0008-00-1",81,1,1,2,3,2,4,3,3,0,4,3,3,5
"11-0205-01",81,6,5,10,5,10,2,11,3,9,10,7,4,3
"11-0206-01",81,14,4,8,2,6,3,7,5,5,1,9,4,3
"11-0659-00",81,1,4,10,8,10,0,2,0,1,2,1,0,0
"11-0659-90",81,0,1,0,0,0,0,0,0,0,0,2,0,0
"11-0660-00",81,2,1,1,1,0,2,1,1,1,0,2,0,1
"11-0660-90",81,0,1,1,1,1,0,0,2,0,2,1,3,0
"11-0907-00",81,0,1,2,1,1,0,0,0,1,0,2,2,4
"11-0907-00-1",81,8,9,3,5,5,6,4,5,3,1,1,3,1
"11-0908-00",81,4,1,2,0,2,7,4,2,1,3,3,2,7
"11-0908-00-1",81,17,17,3,5,8,6,2,4,5,4,5,6,11
"11-11067-01",81,2,2,1,2,3,1,4,1,1,2,0,0,0
"11-11068-01",81,1,3,0,2,5,1,0,1,1,0,1,2,3
"11-11185-90",81,6,14,7,4,10,4,2,1,4,4,3,1,0
"11-11186-90",81,3,13,11,7,6,9,5,1,0,1,8,0,1
"11-1137-00",81,5,3,0,1,5,0,6,5,6,6,9,3,0
"11-1137-02",81,32,36,23,33,26,18,33,22,59,13,25,19,24
"11-1138-00",81,3,5,3,1,6,1,12,1,3,0,5,1,0
"11-1138-02",81,44,14,23,22,25,18,32,19,40,17,22,17,26
"11-11467-00",81,3,5,5,6,5,6,6,7,3,8,5,2,2
"11-11468-00",81,4,4,3,10,7,10,2,5,2,2,10,5,5
