PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,AC_MONTH,RANK_A,RANK_B,RANK_C,RANK_D,RANK_N,ALSO_FIT_YEAR_FROM,ALSO_FIT_YEAR_TO,ALSO_FIT_MAKE
,,D,81,200701,0,0,0,1,0,2002,2004,MINI
,,D,82,200701,0,0,0,1,0,2002,2004,MINI
,,D,83,200701,0,0,0,1,0,2002,2004,MINI
,,D,84,200701,0,0,0,1,0,2002,2004,MINI
,,D,85,200701,0,0,0,1,0,2002,2004,MINI
,,D,81,200701,0,0,0,1,0,2002,2004,MINI
,,D,82,200701,0,0,0,1,0,2002,2004,MINI
,,D,83,200701,0,0,0,1,0,2002,2004,MINI
,,D,84,200701,0,0,0,1,0,2002,2004,MINI
,,D,85,200701,0,0,0,1,0,2002,2004,MINI
,,D,81,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,82,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,83,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,84,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,85,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,81,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,82,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,83,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,84,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,85,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,81,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,82,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,83,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,84,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,85,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,81,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,82,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,83,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,84,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,D,85,201407,0,0,0,1,0,2003,2006,FREIGHTLINER
,,C,81,201502,0,0,1,0,0,2007,2009,DODGE
,,C,81,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,C,82,201502,0,0,1,0,0,2007,2009,DODGE
,,C,82,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,C,83,201502,0,0,1,0,0,2007,2009,DODGE
,,C,83,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,C,84,201502,0,0,1,0,0,2007,2009,DODGE
,,C,84,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,C,85,201502,0,0,1,0,0,2007,2009,DODGE
,,C,85,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,D,81,201504,0,0,0,1,0,2007,2009,DODGE
,,D,81,201504,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,D,82,201504,0,0,0,1,0,2007,2009,DODGE
,,D,82,201504,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,D,83,201504,0,0,0,1,0,2007,2009,DODGE
,,D,83,201504,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,D,84,201504,0,0,0,1,0,2007,2009,DODGE
,,D,84,201504,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,D,85,201504,0,0,0,1,0,2007,2009,DODGE
,,D,85,201504,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,C,81,201502,0,0,1,0,0,2007,2009,DODGE
,,C,81,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,C,82,201502,0,0,1,0,0,2007,2009,DODGE
,,C,82,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,C,83,201502,0,0,1,0,0,2007,2009,DODGE
,,C,83,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,C,84,201502,0,0,1,0,0,2007,2009,DODGE
,,C,84,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,C,85,201502,0,0,1,0,0,2007,2009,DODGE
,,C,85,201502,0,0,1,0,0,2010,2013,MERCEDES-BENZ
,,D,81,201503,0,0,0,1,0,2007,2009,DODGE
,,D,81,201503,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,D,82,201503,0,0,0,1,0,2007,2009,DODGE
,,D,82,201503,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,D,83,201503,0,0,0,1,0,2007,2009,DODGE
,,D,83,201503,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,D,84,201503,0,0,0,1,0,2007,2009,DODGE
,,D,84,201503,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,D,85,201503,0,0,0,1,0,2007,2009,DODGE
,,D,85,201503,0,0,0,1,0,2010,2013,MERCEDES-BENZ
,,B,81,201411,0,1,0,0,0,2006,2011,HYUNDAI
,,B,82,201411,0,1,0,0,0,2006,2011,HYUNDAI
,,B,83,201411,0,1,0,0,0,2006,2011,HYUNDAI
,,B,84,201411,0,1,0,0,0,2006,2011,HYUNDAI
,,B,85,201411,0,1,0,0,0,2006,2011,HYUNDAI
,,D,81,201201,0,0,0,1,0,2006,2011,HYUNDAI
,,D,82,201201,0,0,0,1,0,2006,2011,HYUNDAI
,,D,83,201201,0,0,0,1,0,2006,2011,HYUNDAI
,,D,84,201201,0,0,0,1,0,2006,2011,HYUNDAI
,,D,85,201201,0,0,0,1,0,2006,2011,HYUNDAI
,,B,81,201412,0,1,0,0,0,2006,2011,HYUNDAI
,,B,82,201412,0,1,0,0,0,2006,2011,HYUNDAI
,,B,83,201412,0,1,0,0,0,2006,2011,HYUNDAI
,,B,84,201412,0,1,0,0,0,2006,2011,HYUNDAI
,,B,85,201412,0,1,0,0,0,2006,2011,HYUNDAI
