PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,2016_03_ACTUAL,2016_03_MSF_FORECAST,2016_03_RF_FORECAST
,,D,81,2,4,3
,,D,82,0,1,1
,,D,83,1,1,1
,,D,84,0,1,1
,,D,85,0,1,0
,,D,81,0,3,3
,,D,82,0,1,0
,,D,83,1,1,0
,,D,84,0,1,1
,,D,85,0,0,0
,,D,81,0,3,2
,,D,82,0,0,0
,,D,83,0,1,1
,,D,84,0,1,1
,,D,85,0,1,1
,,D,81,0,1,1
,,D,83,0,0,0
,,D,84,0,1,1
,,D,85,0,0,0
,,D,81,1,3,3
,,D,82,0,0,0
,,D,83,0,1,1
,,D,84,1,1,1
,,D,85,0,1,1
,,D,81,0,1,1
,,D,83,0,0,0
,,D,84,0,1,1
,,D,85,0,0,0
,,C,81,7,4,3
,,C,82,0,2,2
,,C,83,1,3,2
,,C,84,7,5,6
,,C,85,5,2,3
,,D,81,1,2,2
,,D,82,0,1,1
,,D,83,3,5,6
,,D,84,0,3,2
,,D,85,1,2,2
,,C,81,6,4,3
,,C,82,0,2,1
,,C,83,2,2,2
,,C,84,3,5,5
,,C,85,1,2,1
,,D,81,2,3,2
,,D,82,0,1,1
,,D,83,1,6,6
,,D,84,1,2,2
,,D,85,2,2,2
,,B,81,1,3,7
,,B,82,9,3,4
,,B,83,23,16,22
,,B,84,2,4,10
,,B,85,5,1,2
,,D,81,3,1,1
,,D,82,0,1,1
,,D,83,1,2,1
,,D,84,1,0,0
,,D,85,1,2,1
,,B,81,6,2,3
,,B,82,3,3,4
,,B,83,22,18,31
,,B,84,16,2,7
,,B,85,0,1,2
,,D,81,1,1,1
,,D,82,0,1,1
,,D,83,1,3,3
,,D,84,0,0,0
,,D,85,1,2,2
,,D,81,3,1,1
,,D,82,3,4,4
,,D,83,4,2,2
,,D,84,2,2,1
,,D,85,1,0,0
,,C,81,1,3,4
,,C,82,4,2,3
,,C,83,10,4,4
,,C,84,17,4,5
,,C,85,12,4,5
,,C,81,3,3,3
,,C,82,4,2,1
,,C,83,5,4,4
,,C,84,7,4,5
,,C,85,6,3,3
,,D,81,2,2,2
,,D,82,3,3,3
,,D,83,1,2,1
,,D,84,1,1,1
,,D,85,0,1,1
,,C,81,5,2,2
,,C,82,4,3,2
,,C,83,5,4,5
,,C,84,5,5,4
,,C,85,3,3,3
,,C,81,0,4,2
,,C,82,3,3,3
,,C,83,3,4,5
,,C,84,6,6,6
,,C,85,4,3,3
