,,MSF_AE,MSF_AE,MSF_AE,RF_AE,RF_AE,RF_AE,MSF_MAD,MSF_MAD,MSF_MAD,RF_MAD,RF_MAD,RF_MAD
,,len,mean,std,len,mean,std,len,mean,std,len,mean,std
PRODUCT_LINE,ITEM_RANK,,,,,,,,,,,,
1011,A,1109.0,2.198,8.138,1109.0,0.979,6.035,1109.0,9.501,6.492,1109.0,8.628,5.57
1011,B,2142.0,0.083,5.512,2142.0,-0.239,3.883,2142.0,5.952,4.982,2142.0,5.469,4.238
1011,C,2943.0,-1.466,4.548,2943.0,-1.011,2.783,2943.0,4.177,4.27,2943.0,3.667,3.101
1011,D,4756.0,-0.978,2.832,4756.0,-0.522,1.57,4756.0,1.969,2.865,4756.0,1.591,1.938
1012,A,618.0,3.0,7.627,618.0,2.014,5.967,618.0,9.09,6.119,618.0,8.54,5.786
1012,B,1331.0,0.113,4.846,1331.0,-0.019,3.201,1331.0,4.95,4.542,1331.0,4.618,3.885
1012,C,1762.0,-0.767,3.679,1762.0,-0.393,2.303,1762.0,3.305,3.675,1762.0,2.973,2.909
1012,D,2472.0,-0.859,3.19,2472.0,-0.34,1.567,2472.0,1.999,3.408,2472.0,1.591,2.315
1013,A,778.0,1.128,6.668,778.0,-0.007,5.062,778.0,8.093,5.873,778.0,7.711,5.55
1013,B,1735.0,0.165,4.403,1735.0,0.011,3.027,1735.0,4.632,4.307,1735.0,4.346,3.754
1013,C,2236.0,-0.4,3.211,2236.0,-0.144,2.25,2236.0,3.584,3.899,2236.0,3.448,3.605
1013,D,4034.0,-0.935,2.929,4034.0,-0.369,1.669,4034.0,2.468,3.318,4034.0,2.088,2.557
1017,A,652.0,-0.619,4.723,652.0,0.103,3.855,652.0,7.121,5.431,652.0,7.047,5.345
1017,B,1397.0,-0.279,2.073,1397.0,-0.194,1.715,1397.0,2.88,2.334,1397.0,2.904,2.261
1017,C,1764.0,-0.182,0.977,1764.0,-0.266,0.789,1764.0,1.448,1.072,1764.0,1.48,1.041
1017,D,1808.0,-0.239,1.014,1808.0,-0.108,0.46,1808.0,0.778,1.094,1808.0,0.657,0.761
1017,N,19.0,-0.041,0.917,19.0,-0.357,0.735,19.0,0.942,0.845,19.0,1.094,0.647
2011,A,167.0,-0.651,8.126,167.0,0.695,6.986,167.0,14.265,7.049,167.0,14.349,6.862
2011,B,440.0,-0.336,3.44,440.0,0.322,3.039,440.0,6.103,4.09,440.0,6.077,4.08
2011,C,745.0,-0.122,1.895,745.0,-0.004,1.63,745.0,2.437,2.05,745.0,2.34,1.824
2011,D,1080.0,-0.032,0.631,1080.0,-0.036,0.521,1080.0,0.884,0.665,1080.0,0.873,0.604
2012,A,433.0,0.281,8.69,433.0,0.861,6.362,433.0,10.148,6.268,433.0,9.705,5.675
2012,B,833.0,0.23,5.006,833.0,0.64,3.786,833.0,5.508,3.601,833.0,5.023,3.073
2012,C,1143.0,0.14,2.231,1143.0,0.119,1.664,1143.0,2.512,1.89,1143.0,2.423,1.584
