,,MSF_AE,MSF_AE,MSF_AE,RF_AE,RF_AE,RF_AE,MSF_MAD,MSF_MAD,MSF_MAD,RF_MAD,RF_MAD,RF_MAD
,,len,mean,std,len,mean,std,len,mean,std,len,mean,std
PRODUCT_LINE,ITEM_RANK,,,,,,,,,,,,
1011,A,1414.0,-0.67,10.036,1414.0,0.718,8.488,1414.0,8.281,6.984,1414.0,7.458,5.992
1011,B,2733.0,-0.865,7.311,2733.0,0.268,5.449,2733.0,5.521,5.436,2733.0,4.631,4.195
1011,C,3521.0,-1.44,5.303,3521.0,-0.352,3.561,3521.0,3.745,4.335,3521.0,2.949,2.887
1011,D,5035.0,-0.75,2.929,5035.0,-0.341,1.84,5035.0,1.61,2.671,5035.0,1.337,1.594
1011,N,5.0,1.4,1.557,5.0,1.0,0.935,5.0,1.4,1.557,5.0,1.2,0.758
1012,A,822.0,4.092,9.756,822.0,3.105,8.136,822.0,8.389,7.184,822.0,7.604,6.134
1012,B,1651.0,0.237,6.101,1651.0,0.24,5.037,1651.0,4.432,4.709,1651.0,4.107,3.903
1012,C,2194.0,-0.377,4.096,2194.0,-0.186,3.335,2194.0,2.851,3.548,2194.0,2.601,2.972
1012,D,2711.0,-0.399,2.996,2711.0,-0.231,2.465,2711.0,1.573,2.816,2711.0,1.501,2.263
1013,A,941.0,-0.492,8.894,941.0,0.465,7.733,941.0,7.38,6.311,941.0,6.874,5.677
1013,B,2103.0,-0.158,6.111,2103.0,-0.005,4.938,2103.0,4.313,4.789,2103.0,3.969,3.885
1013,C,2814.0,-0.805,4.096,2814.0,-0.384,3.678,2814.0,3.028,3.48,2814.0,2.907,3.178
1013,D,4384.0,-0.962,3.166,4384.0,-0.384,2.498,4384.0,2.035,2.93,4384.0,1.761,2.33
1017,A,701.0,-0.808,6.613,701.0,0.045,6.429,701.0,5.724,5.307,701.0,5.721,5.021
1017,B,1487.0,-0.295,3.038,1487.0,-0.358,3.245,1487.0,2.497,2.467,1487.0,2.71,2.554
1017,C,1891.0,-0.114,1.862,1891.0,-0.355,1.867,1891.0,1.354,1.521,1891.0,1.497,1.49
1017,D,1927.0,-0.049,0.998,1927.0,-0.168,0.982,1927.0,0.585,0.927,1927.0,0.668,0.875
1017,N,19.0,-0.421,1.121,19.0,-0.947,1.012,19.0,0.895,0.809,19.0,1.263,0.674
2011,A,189.0,-7.664,10.888,189.0,-8.397,10.382,189.0,12.77,7.581,189.0,12.852,7.583
2011,B,489.0,-1.618,5.261,489.0,-2.638,5.167,489.0,4.881,4.056,489.0,5.446,4.237
2011,C,794.0,0.253,3.774,794.0,-0.417,3.293,794.0,2.361,3.235,794.0,2.429,2.767
2011,D,1080.0,0.088,1.176,1080.0,-0.207,1.158,1080.0,0.854,0.978,1080.0,0.975,0.914
2012,A,456.0,-0.953,10.277,456.0,-1.979,9.209,456.0,8.764,6.724,456.0,8.598,6.231
2012,B,877.0,0.079,5.631,877.0,-0.551,4.943,877.0,4.679,3.942,877.0,4.53,3.43
