,,MSF_AE,MSF_AE,MSF_AE,RF_AE,RF_AE,RF_AE,MSF_MAD,MSF_MAD,MSF_MAD,RF_MAD,RF_MAD,RF_MAD
,,len,mean,std,len,mean,std,len,mean,std,len,mean,std
PRODUCT_LINE,ITEM_RANK,,,,,,,,,,,,
1011,A,1410.0,-0.654,10.028,1410.0,0.688,8.568,1410.0,8.221,6.891,1410.0,7.526,5.823
1011,B,2734.0,-0.845,7.364,2734.0,0.276,5.404,2734.0,5.538,5.483,2734.0,4.587,4.093
1011,C,3522.0,-1.432,5.319,3522.0,-0.404,3.653,3522.0,3.751,4.347,3522.0,3.006,2.97
1011,D,5035.0,-0.75,2.929,5035.0,-0.375,1.922,5035.0,1.61,2.671,5035.0,1.369,1.659
1011,N,5.0,1.4,1.557,5.0,0.6,0.548,5.0,1.4,1.557,5.0,1.4,0.548
1012,A,828.0,4.019,9.83,828.0,3.249,8.376,828.0,8.487,7.267,828.0,7.673,6.31
1012,B,1652.0,0.245,6.159,1652.0,0.265,5.002,1652.0,4.449,4.754,1652.0,4.102,3.928
1012,C,2191.0,-0.396,4.074,2191.0,-0.279,3.366,2191.0,2.815,3.408,2191.0,2.606,2.851
1012,D,2711.0,-0.399,2.996,2711.0,-0.228,2.533,2711.0,1.573,2.816,2711.0,1.517,2.307
1013,A,940.0,-0.553,8.834,940.0,0.651,7.688,940.0,7.368,6.301,940.0,6.802,5.601
1013,B,2104.0,-0.149,6.125,2104.0,0.067,4.925,2104.0,4.321,4.799,2104.0,3.932,3.84
1013,C,2815.0,-0.806,4.096,2815.0,-0.408,3.622,2815.0,3.037,3.511,2815.0,2.864,3.074
1013,D,4384.0,-0.96,3.152,4384.0,-0.365,2.529,4384.0,2.034,2.916,4384.0,1.767,2.337
1017,A,698.0,-0.819,6.572,698.0,0.029,6.305,698.0,5.632,5.122,698.0,5.586,4.905
1017,B,1487.0,-0.295,3.038,1487.0,-0.26,3.138,1487.0,2.497,2.467,1487.0,2.616,2.486
1017,C,1891.0,-0.114,1.862,1891.0,-0.373,1.89,1891.0,1.354,1.521,1891.0,1.509,1.522
1017,D,1927.0,-0.049,0.998,1927.0,-0.14,0.934,1927.0,0.585,0.927,1927.0,0.644,0.847
1017,N,19.0,-0.421,1.121,19.0,-0.789,1.122,19.0,0.895,0.809,19.0,1.211,0.805
2011,A,182.0,-7.294,10.532,182.0,-7.676,9.904,182.0,12.338,7.162,182.0,12.104,7.164
2011,B,489.0,-1.618,5.261,489.0,-2.461,4.966,489.0,4.881,4.056,489.0,5.31,4.081
2011,C,794.0,0.253,3.774,794.0,-0.327,3.338,794.0,2.361,3.235,794.0,2.411,2.828
2011,D,1080.0,0.088,1.176,1080.0,-0.184,1.141,1080.0,0.854,0.978,1080.0,0.942,0.923
2012,A,457.0,-0.882,10.311,457.0,-1.621,9.001,457.0,8.792,6.736,457.0,8.348,6.158
2012,B,879.0,0.121,5.694,879.0,-0.577,5.094,879.0,4.718,4.024,879.0,4.572,3.607
